           1           1        2204         234
           1           2        2214         187
           1           3        1267         245
           1           4        1239         199
           1           5        1649         245
           1           6        1786         177
           1           7        1255         245
           1           8        1253         209
           1           9        1273         245
           1          10        1252         196
           1          11        1251         245
           1          12        1251         245
           1          13        1230         206
           1          14        1224         195
           1          15        1267         245
           1          16        1053         181
           1          17        2208         245
           1          18        2217         245
           1          19        1252         206
           1          20        1274         245
           1          21         994         191
           1          22        1241         187
           1          23        1266         233
           1          24        1256         202
           1          25        1279         245
           1          26        1260         242
           1          27        1650         245
           1          28        2202         181
           1          29        1240         212
           1          30        1267         245
           1          31        2210         245
           1          32        2216         195
           1          33        1244         192
           1          34        1257         207
           1          35        1264         237
           1          36        1249         203
           1          37        1257         215
           1          38        1253         200
           1          39        1249         196
           1          40        1233         186
           1          41        2043         179
           1          42        2195         245
           1          43        2204         200
           1          44        2205         245
           1          45        1262         233
           1          46        1269         228
           1          47        1247         245
           1          48         977         204
           1          49        1227         203
           1          50        1226         193
           1          51        1232         205
           1          52        1251         245
           1          53        1224         189
           1          54        1224         192
           1          55        1241         231
           1          56        1227         207
           1          57        1044         197
           1          58        1211         186
           1          59        2149         245
           1          60        2141         245
           1          61        2158         178
           1          62        2167         176
           1          63        1214         186
           1          64        1214         184
           1          65        2160         245
           1          66        2162         205
           1          67        1225         201
           1          68        1251         245
           1          69        1228         197
           1          70        1244         238
           1          71        1241         230
           1          72        1158         213
           1          73        2161         170
           1          74        2144         245
           1          75        1235         245
           1          76        1249         245
           1          77        1246         245
           1          78         990         175
           1          79        2153         192
           1          80        1746         190
           1          81        1232         245
           1          82        1230         206
           1          83        1241         240
           1          84        1162         245
           1          85        1042         175
           1          86        1124         245
           1          87        1130         203
           1          88        1248         245
           1          89        1233         214
           1          90        1226         205
           1          91        1228         212
           1          92        1228         208
           1          93        1240         242
           1          94         953         245
           1          95        1226         202
           1          96        1227         197
           1          97        1247         245
           1          98        1092         182
           1          99        1248         245
           1         100        1234         211
           2           1        2699         245
           2           2        2520         186
           2           3        1252         219
           2           4        1260         245
           2           5        2726         175
           2           6        2698         245
           2           7        1730         208
           2           8        1605         195
           2           9        1194         245
           2          10        1259         195
           2          11        1230         203
           2          12        1220         182
           2          13        1250         245
           2          14        1136         187
           2          15        1263         245
           2          16         953         245
           2          17        2222         245
           2          18        2233         194
           2          19        1248         196
           2          20        1264         245
           2          21        1750         245
           2          22        1747         235
           2          23        1249         186
           2          24        1267         208
           2          25        1289         245
           2          26        1244         198
           2          27        2701         245
           2          28        2071         245
           2          29        1741         245
           2          30        1605         184
           2          31        2713         245
           2          32        2734         193
           2          33        1246         186
           2          34        1252         190
           2          35        1756         245
           2          36        1445         245
           2          37        1255         208
           2          38        1272         245
           2          39        1757         245
           2          40        1743         245
           2          41        2708         245
           2          42        2694         245
           2          43        2523         179
