           1           1         Infinity
           1           2         Infinity
           1           3         Infinity
           1           4         Infinity
           1           5         Infinity
           1           6         Infinity
           1           7         Infinity
           1           8         Infinity
           1           9         Infinity
           1          10         Infinity
           1          11         Infinity
           1          12         Infinity
           1          13         Infinity
           1          14         Infinity
           1          15         Infinity
           1          16         Infinity
           1          17         Infinity
           1          18         Infinity
           1          19         Infinity
           1          20         Infinity
           1          21         Infinity
           1          22         Infinity
           1          23         Infinity
           1          24         Infinity
           1          25         Infinity
           1          26         Infinity
           1          27         Infinity
           1          28         Infinity
           1          29         Infinity
           1          30         Infinity
           1          31         Infinity
           1          32         Infinity
           1          33         Infinity
           1          34         Infinity
           1          35         Infinity
           1          36         Infinity
           1          37         Infinity
           1          38         Infinity
           1          39         Infinity
           1          40         Infinity
           1          41         Infinity
           1          42         Infinity
           1          43         Infinity
           1          44         Infinity
           1          45         Infinity
           1          46         Infinity
           1          47         Infinity
           1          48         Infinity
           1          49         Infinity
           1          50         Infinity
           2           1         Infinity
           2           2         Infinity
           2           3         Infinity
           2           4         Infinity
           2           5         Infinity
           2           6         Infinity
           2           7         Infinity
           2           8         Infinity
           2           9         Infinity
           2          10         Infinity
           2          11         Infinity
           2          12         Infinity
           2          13         Infinity
           2          14         Infinity
           2          15         Infinity
           2          16         Infinity
           2          17         Infinity
           2          18         Infinity
           2          19         Infinity
           2          20         Infinity
           2          21         Infinity
           2          22         Infinity
           2          23         Infinity
           2          24         Infinity
           2          25         Infinity
           2          26         Infinity
           2          27         Infinity
           2          28         Infinity
           2          29         Infinity
           2          30         Infinity
           2          31         Infinity
           2          32         Infinity
           2          33         Infinity
           2          34         Infinity
           2          35         Infinity
           2          36         Infinity
           2          37         Infinity
           2          38         Infinity
           2          39         Infinity
           2          40         Infinity
           2          41         Infinity
           2          42         Infinity
           2          43         Infinity
           2          44         Infinity
           2          45         Infinity
           2          46         Infinity
           2          47         Infinity
           2          48         Infinity
           2          49         Infinity
           2          50         Infinity
           3           1         Infinity
           3           2         Infinity
           3           3         Infinity
           3           4         Infinity
           3           5         Infinity
           3           6         Infinity
           3           7         Infinity
           3           8         Infinity
           3           9         Infinity
           3          10         Infinity
           3          11         Infinity
           3          12         Infinity
           3          13         Infinity
           3          14         Infinity
           3          15         Infinity
           3          16         Infinity
           3          17         Infinity
           3          18         Infinity
           3          19         Infinity
           3          20         Infinity
           3          21         Infinity
           3          22         Infinity
           3          23         Infinity
           3          24         Infinity
           3          25         Infinity
           3          26         Infinity
           3          27         Infinity
           3          28         Infinity
           3          29         Infinity
           3          30         Infinity
           3          31         Infinity
           3          32         Infinity
           3          33         Infinity
           3          34         Infinity
           3          35         Infinity
           3          36         Infinity
           3          37         Infinity
           3          38         Infinity
           3          39         Infinity
           3          40         Infinity
           3          41         Infinity
           3          42         Infinity
           3          43         Infinity
           3          44         Infinity
           3          45         Infinity
           3          46         Infinity
           3          47         Infinity
           3          48         Infinity
           3          49         Infinity
           3          50         Infinity
           4           1         Infinity
           4           2         Infinity
           4           3         Infinity
           4           4         Infinity
           4           5         Infinity
           4           6         Infinity
           4           7         Infinity
           4           8         Infinity
           4           9         Infinity
           4          10         Infinity
           4          11         Infinity
           4          12         Infinity
           4          13         Infinity
           4          14         Infinity
           4          15         Infinity
           4          16         Infinity
           4          17         Infinity
           4          18         Infinity
           4          19         Infinity
           4          20         Infinity
           4          21         Infinity
           4          22         Infinity
           4          23         Infinity
           4          24         Infinity
           4          25         Infinity
           4          26         Infinity
           4          27         Infinity
           4          28         Infinity
           4          29         Infinity
           4          30         Infinity
           4          31         Infinity
           4          32         Infinity
           4          33         Infinity
           4          34         Infinity
           4          35         Infinity
           4          36         Infinity
           4          37         Infinity
           4          38         Infinity
           4          39         Infinity
           4          40         Infinity
           4          41         Infinity
           4          42         Infinity
           4          43         Infinity
           4          44         Infinity
           4          45         Infinity
           4          46         Infinity
           4          47         Infinity
           4          48         Infinity
           4          49         Infinity
           4          50         Infinity
           5           1         Infinity
           5           2         Infinity
           5           3         Infinity
           5           4         Infinity
           5           5         Infinity
           5           6         Infinity
           5           7         Infinity
           5           8         Infinity
           5           9         Infinity
           5          10         Infinity
           5          11         Infinity
           5          12         Infinity
           5          13         Infinity
           5          14         Infinity
           5          15         Infinity
           5          16         Infinity
           5          17         Infinity
           5          18         Infinity
           5          19         Infinity
           5          20         Infinity
           5          21         Infinity
           5          22         Infinity
           5          23         Infinity
           5          24         Infinity
           5          25         Infinity
           5          26         Infinity
           5          27         Infinity
           5          28         Infinity
           5          29         Infinity
           5          30         Infinity
           5          31         Infinity
           5          32         Infinity
           5          33         Infinity
           5          34         Infinity
           5          35         Infinity
           5          36         Infinity
           5          37         Infinity
           5          38         Infinity
           5          39         Infinity
           5          40         Infinity
           5          41         Infinity
           5          42         Infinity
           5          43         Infinity
           5          44         Infinity
           5          45         Infinity
           5          46         Infinity
           5          47         Infinity
           5          48         Infinity
           5          49         Infinity
           5          50         Infinity
           6           1         Infinity
           6           2         Infinity
           6           3         Infinity
           6           4         Infinity
           6           5         Infinity
           6           6         Infinity
           6           7         Infinity
           6           8         Infinity
           6           9         Infinity
           6          10         Infinity
           6          11         Infinity
           6          12         Infinity
           6          13         Infinity
           6          14         Infinity
           6          15         Infinity
           6          16         Infinity
           6          17         Infinity
           6          18         Infinity
           6          19         Infinity
           6          20         Infinity
           6          21         Infinity
           6          22         Infinity
           6          23         Infinity
           6          24         Infinity
           6          25         Infinity
           6          26         Infinity
